Vs0,Vus0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
-59.75517594326918,-56.36881368020514,quiescent,quiescent,0,0,,,,,,,,,[-52.729694 -53.45041  -54.145996 ... -54.750156 -54.750156 -54.750156],[-52.729694 -53.45041  -54.145996 ... -54.750156 -54.750156 -54.750156],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
-59.75517594326918,-56.287302321594446,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-56.231618186888966,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-55.540833630900494,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-54.663662191171994,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-54.227304675248156,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-54.1133580852,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-53.83109446253879,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-52.96128429043536,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-52.80355330675777,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-52.592526779805354,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-50.09969086530679,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-49.85379041970086,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-49.75973078435901,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-49.23199223512259,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-48.79690700260742,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-48.616917503311555,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-46.129344077851364,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-45.64278503889504,quiescent,quiescent,0,0,,,,,,,,,,,
-59.75517594326918,-40.8634324754736,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-56.36881368020514,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-56.287302321594446,quiescent,quiescent,0,0,,,,,,,,,[-52.327312 -52.652412 -52.97199  ... -53.058056 -53.058056 -53.058056],[-52.327312 -52.652412 -52.97199  ... -53.058056 -53.058056 -53.058056],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
-56.51089753431159,-56.231618186888966,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-55.540833630900494,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-54.663662191171994,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-54.227304675248156,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-54.1133580852,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-53.83109446253879,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-52.96128429043536,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-52.80355330675777,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-52.592526779805354,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-50.09969086530679,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-49.85379041970086,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-49.75973078435901,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-49.23199223512259,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-48.79690700260742,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-48.616917503311555,quiescent,quiescent,0,0,,,,,,,,,,,
-56.51089753431159,-46.129344077851364,quiescent,quiescent,0,0,,,,,,,,,,,
