Vs0,Vus0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B
-55.0,-57.0,tonic_spiking,tonic_spiking,1,1,1.0,1.0,,,,,,
-55.0,-56.473684210526315,tonic_spiking,tonic_spiking,1,1,1.0,1.0,,,,,,
-55.0,-55.94736842105263,tonic_spiking,tonic_spiking,1,1,1.0,1.0,,,,,,
-55.0,-55.421052631578945,tonic_spiking,tonic_spiking,1,1,1.0,1.0,,,,,,
-55.0,-54.89473684210526,tonic_spiking,tonic_spiking,1,1,1.0,1.0,,,,,,
-55.0,-54.36842105263158,tonic_spiking,tonic_spiking,2,2,2.0,2.0,,,,,1.144950767117014,1.144885225256168
-55.0,-53.8421052631579,tonic_spiking,tonic_spiking,2,2,2.0,2.0,,,,,15.420200462606022,15.420200462606022
-55.0,-53.31578947368421,bursting,bursting,12,13,4.0,4.333333333333333,0.2429767829149544,0.2911724711446036,0.3370893826261643,0.2363594806957188,11.259930968990316,11.749304820444689
-55.0,-52.78947368421053,bursting,bursting,14,17,3.5,5.666666666666667,0.08937704296884523,0.42756066177322916,0.36272802098107554,0.2865706851243234,14.681978461471193,10.533248956042042
-55.0,-52.26315789473684,bursting,bursting,16,19,4.0,4.75,0.23095302866674014,0.2144013774017636,0.4189421872058758,0.3840700876478728,12.721421564947443,12.11452565222728
-55.0,-51.73684210526316,bursting,bursting,18,19,6.0,6.333333333333333,0.37482386473988355,0.36793023313319523,0.23831771960301557,0.5162888399431304,11.519014939248144,10.13271342044654
-55.0,-51.21052631578947,bursting,bursting,21,26,7.0,8.666666666666666,0.3676726195106812,0.3491452349953569,0.30831431339253884,0.24253751360495457,12.370367107899296,12.374631552470035
-55.0,-50.68421052631579,tonic_spiking,bursting,2,39,2.0,3.5454545454545454,,0.20570473715920592,,1.2221254839257718,3.398470688190314,14.746652526511857
-55.0,-50.1578947368421,tonic_spiking,bursting,3,40,3.0,3.6363636363636362,,0.2300750315934313,,1.2901580674409643,2.671635155081637,14.193165857392898
-55.0,-49.631578947368425,tonic_spiking,bursting,3,45,3.0,3.75,,0.2724396946675837,,1.3636643513988658,2.477726399947646,14.127219820433666
-55.0,-49.10526315789474,bursting,tonic_spiking,49,3,3.5,3.0,0.2607003505226223,,1.5149691715410254,,14.760374735509936,2.153970537210685
-55.0,-48.578947368421055,tonic_spiking,bursting,2,52,2.0,5.777777777777778,,0.3362100060192129,,1.2663939559151687,1.264462287412278,12.712397137242647
-55.0,-48.05263157894737,tonic_spiking,bursting,3,43,3.0,6.142857142857143,,0.3662884751821746,,0.8689036903502853,0.8685527702806424,12.50131683364156
-55.0,-47.526315789473685,tonic_spiking,tonic_spiking,1,1,1.0,1.0,,,,,,
-55.0,-47.0,tonic_spiking,tonic_spiking,1,1,1.0,1.0,,,,,,
-54.473684210526315,-57.0,bursting,bursting,35,37,3.888888888888889,4.111111111111111,0.376120920399049,0.33626392516867587,0.9265060303429301,0.8894669965961794,12.014161144745545,10.935415088405424
-54.473684210526315,-56.473684210526315,bursting,bursting,40,40,4.444444444444445,5.0,0.3748123338073609,0.41397353401521586,0.8686494281605167,0.8163994519571964,11.914723512959002,11.376321159829779
-54.473684210526315,-55.94736842105263,bursting,bursting,42,44,5.25,4.888888888888889,0.43314500617792323,0.39702718558408434,0.8792478050563309,0.8932943602531382,11.019937706208275,11.659658576307672
-54.473684210526315,-55.421052631578945,bursting,bursting,47,45,5.222222222222222,5.0,0.38281143819506425,0.37895683022444776,0.8932020531615453,0.9340486538292085,12.275787224965109,12.202069999606241
-54.473684210526315,-54.89473684210526,bursting,bursting,50,48,5.555555555555555,6.0,0.44961521593162174,0.4009517210825763,0.9361547909253602,0.9006505677061906,12.129662046901574,11.736967670918986
-54.473684210526315,-54.36842105263158,bursting,bursting,52,53,5.777777777777778,5.888888888888889,0.4300191237561712,0.4185293772909392,0.9368493728272334,0.8890046729394272,13.138187083764818,13.063935087391194
-54.473684210526315,-53.8421052631579,bursting,bursting,57,55,6.333333333333333,6.875,0.4477946725528661,0.42867027130113805,0.9018841728846426,0.8787798180785283,13.314752943942215,13.014973731334623
