g_us,delta_Vus,tau_us,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B
0.005,1.2,200.0,tonic_spiking,tonic_spiking,237,238,237.0,238.0,,,,,25.527575911327567,25.570403259930927
0.005,1.2,216.66666666666666,tonic_spiking,tonic_spiking,233,233,233.0,233.0,,,,,25.084481523401283,25.131128400960016
0.005,1.2,233.33333333333334,tonic_spiking,tonic_spiking,228,229,228.0,229.0,,,,,24.54978584032069,24.696300243413056
0.005,1.2,250.0,tonic_spiking,tonic_spiking,222,221,222.0,221.0,,,,,23.925842907951793,23.86958087877558
0.005,1.2,266.6666666666667,tonic_spiking,tonic_spiking,220,196,220.0,196.0,,,,,23.811082254107916,23.468109181677416
0.005,1.2,283.33333333333337,tonic_spiking,tonic_spiking,214,214,214.0,214.0,,,,,23.19335258688198,23.19335258688198
0.005,1.2,300.0,tonic_spiking,tonic_spiking,81,233,81.0,233.0,,,,,24.074113425462446,25.118630505285104
0.005,1.2,316.6666666666667,tonic_spiking,tonic_spiking,57,231,57.0,231.0,,,,,24.366785433978837,24.890519198249727
0.005,1.2,333.33333333333337,tonic_spiking,tonic_spiking,192,192,192.0,192.0,,,,,21.045574660548915,21.045574660548915
0.005,1.2,350.0,tonic_spiking,tonic_spiking,219,46,219.0,46.0,,,,,23.646600699410463,25.223529748401905
0.005,1.3111111111111111,200.0,tonic_spiking,tonic_spiking,231,232,231.0,232.0,,,,,24.911463866258718,24.9536418980241
0.005,1.3111111111111111,216.66666666666666,tonic_spiking,tonic_spiking,227,227,227.0,227.0,,,,,24.466436895935804,24.416589459611235
0.005,1.3111111111111111,233.33333333333334,tonic_spiking,tonic_spiking,219,219,219.0,219.0,,,,,23.614564589179274,23.67820700894269
0.005,1.3111111111111111,250.0,tonic_spiking,tonic_spiking,238,96,238.0,96.0,,,,,25.68858619574673,24.230824371151083
0.005,1.3111111111111111,266.6666666666667,tonic_spiking,tonic_spiking,238,64,238.0,64.0,,,,,25.661084754673368,24.650874268922383
0.005,1.3111111111111111,283.33333333333337,tonic_spiking,tonic_spiking,201,201,201.0,201.0,,,,,21.81473875829519,21.81473875829519
0.005,1.3111111111111111,300.0,tonic_spiking,tonic_spiking,228,46,228.0,46.0,,,,,24.542575928836282,25.664477862521355
0.005,1.3111111111111111,316.6666666666667,tonic_spiking,tonic_spiking,33,222,33.0,222.0,,,,,26.290212505895816,23.983495156910273
0.005,1.3111111111111111,333.33333333333337,tonic_spiking,tonic_spiking,212,46,212.0,46.0,,,,,22.92246886734874,24.59349062116443
0.005,1.3111111111111111,350.0,tonic_spiking,tonic_spiking,204,43,204.0,43.0,,,,,22.199372998474338,25.021539340529564
0.005,1.4222222222222223,200.0,tonic_spiking,tonic_spiking,227,225,227.0,225.0,,,,,24.45144693634102,24.285106878885376
0.005,1.4222222222222223,216.66666666666666,tonic_spiking,tonic_spiking,93,244,93.0,244.0,,,,,24.593716831932674,26.343014990468667
0.005,1.4222222222222223,233.33333333333334,tonic_spiking,tonic_spiking,71,241,71.0,241.0,,,,,24.687687246286895,26.004103910170965
0.005,1.4222222222222223,250.0,tonic_spiking,tonic_spiking,47,239,47.0,239.0,,,,,24.93162158604403,25.757976074987578
0.005,1.4222222222222223,266.6666666666667,tonic_spiking,tonic_spiking,231,49,231.0,49.0,,,,,24.89620360620706,25.4409932858819
0.005,1.4222222222222223,283.33333333333337,tonic_spiking,tonic_spiking,190,190,190.0,190.0,,,,,20.822534007315383,20.822534007315383
0.005,1.4222222222222223,300.0,tonic_spiking,tonic_spiking,51,214,51.0,214.0,,,,,24.278310795569006,23.170550549114715
0.005,1.4222222222222223,316.6666666666667,tonic_spiking,tonic_spiking,208,36,208.0,36.0,,,,,22.45428814647783,24.972009604251785
0.005,1.4222222222222223,333.33333333333337,tonic_spiking,tonic_spiking,199,32,199.0,32.0,,,,,21.60869251937951,25.838615188161768
0.005,1.4222222222222223,350.0,tonic_spiking,tonic_spiking,190,31,190.0,31.0,,,,,20.724536191871955,25.393663401968546
0.005,1.5333333333333332,200.0,tonic_spiking,tonic_spiking,218,219,218.0,219.0,,,,,23.515455750315272,23.663616037733814
0.005,1.5333333333333332,216.66666666666666,tonic_spiking,tonic_spiking,239,82,239.0,82.0,,,,,25.773729530664173,23.81841726635238
0.005,1.5333333333333332,233.33333333333334,tonic_spiking,tonic_spiking,236,54,236.0,54.0,,,,,25.471555028185275,24.128985844112407
0.005,1.5333333333333332,250.0,tonic_spiking,tonic_spiking,231,41,231.0,41.0,,,,,24.848705789311012,25.349261711469275
0.005,1.5333333333333332,266.6666666666667,tonic_spiking,tonic_spiking,219,48,219.0,48.0,,,,,23.660758158283482,23.703243843235455
0.005,1.5333333333333332,283.33333333333337,tonic_spiking,tonic_spiking,30,214,30.0,214.0,,,,,26.186344824575855,23.104481823908962
0.005,1.5333333333333332,300.0,tonic_spiking,tonic_spiking,31,204,31.0,204.0,,,,,25.948403861450664,22.066744452152257
0.005,1.5333333333333332,316.6666666666667,tonic_spiking,tonic_spiking,32,193,32.0,193.0,,,,,25.128250710645627,21.000597899988673
0.005,1.5333333333333332,333.33333333333337,bursting,bursting,47,171,23.5,85.5,0.5464353569166741,0.5464477166316074,0.4523658735185017,0.4523761054941078,25.53426834224773,20.971316940583606
0.005,1.5333333333333332,350.0,bursting,bursting,106,119,35.333333333333336,39.666666666666664,0.3853827750830481,0.4326516603510833,0.320816449994638,0.2411156543971239,26.642730406416426,26.07803121819946
0.005,1.6444444444444444,200.0,tonic_spiking,tonic_spiking,69,243,69.0,243.0,,,,,24.380846043376845,26.166101436845544
0.005,1.6444444444444444,216.66666666666666,tonic_spiking,tonic_spiking,67,234,67.0,234.0,,,,,24.082503587571626,25.305930951992547
0.005,1.6444444444444444,233.33333333333334,tonic_spiking,tonic_spiking,232,33,232.0,33.0,,,,,24.91504612686792,25.86942994577916
0.005,1.6444444444444444,250.0,tonic_spiking,tonic_spiking,219,41,219.0,41.0,,,,,23.668555243507676,24.282743186854027
0.005,1.6444444444444444,266.6666666666667,tonic_spiking,tonic_spiking,32,211,32.0,211.0,,,,,25.671841347578066,22.782091592877805
0.005,1.6444444444444444,283.33333333333337,bursting,bursting,133,133,26.6,26.6,0.5360634990969955,0.5360634990969955,0.5107301207608678,0.5107301207608678,24.00625471243449,24.00625471243449
0.005,1.6444444444444444,300.0,tonic_spiking,tonic_spiking,30,190,30.0,190.0,,,,,25.210962526027494,20.648367395101854
0.005,1.6444444444444444,316.6666666666667,tonic_spiking,tonic_spiking,180,22,180.0,22.0,,,,,19.834221867304112,26.995602267214412
0.005,1.6444444444444444,333.33333333333337,bursting,bursting,97,114,24.25,38.0,0.3674695778240462,0.40024888617277943,0.3461796346501456,0.2712016207538803,27.057393822595028,26.3564884324703
0.005,1.6444444444444444,350.0,bursting,bursting,105,105,35.0,26.25,0.38804721504627854,0.3719932031691542,0.28597230499620385,0.35925691660334397,26.35174547742784,27.217633540397202
0.005,1.7555555555555555,200.0,tonic_spiking,tonic_spiking,208,208,208.0,208.0,,,,,22.514271709150645,22.514271709150645
0.005,1.7555555555555555,216.66666666666666,tonic_spiking,tonic_spiking,230,44,230.0,44.0,,,,,24.78549588563015,24.147652445652543
0.005,1.7555555555555555,233.33333333333334,tonic_spiking,tonic_spiking,222,29,222.0,29.0,,,,,23.96209538882603,25.999543205393724
0.005,1.7555555555555555,250.0,tonic_spiking,tonic_spiking,30,211,30.0,211.0,,,,,25.551958934997216,22.766245378722903
0.005,1.7555555555555555,266.6666666666667,tonic_spiking,tonic_spiking,200,26,200.0,26.0,,,,,21.628314373484198,25.75127721789695
0.005,1.7555555555555555,283.33333333333337,tonic_spiking,tonic_spiking,24,188,24.0,188.0,,,,,26.439098287107846,20.538399129140892
0.005,1.7555555555555555,300.0,tonic_spiking,tonic_spiking,24,177,24.0,177.0,,,,,26.169220039634194,19.4445560330752
0.005,1.7555555555555555,316.6666666666667,bursting,bursting,104,107,34.666666666666664,26.75,0.3861886494471647,0.3621602988225254,0.29074959325273897,0.3719438115464546,26.517703802882423,27.22853333869221
0.005,1.7555555555555555,333.33333333333337,bursting,bursting,108,96,27.0,32.0,0.3514437392344642,0.3790901298746,0.38764836183498746,0.30606162882204,27.03856188517779,26.417124672528256
0.005,1.7555555555555555,350.0,bursting,bursting,101,91,25.25,22.75,0.3416862116960678,0.3520797284018444,0.4073229292250334,0.3252111357034638,27.14794429357299,26.749210509720076
0.005,1.8666666666666667,200.0,tonic_spiking,tonic_spiking,200,200,200.0,200.0,,,,,21.65027480096528,21.65027480096528
0.005,1.8666666666666667,216.66666666666666,tonic_spiking,tonic_spiking,225,26,225.0,26.0,,,,,24.207199246465716,25.783645993033875
0.005,1.8666666666666667,233.33333333333334,tonic_spiking,tonic_spiking,210,31,210.0,31.0,,,,,22.751784258842896,24.85438674383965
0.005,1.8666666666666667,250.0,tonic_spiking,tonic_spiking,24,200,24.0,200.0,,,,,25.306548856526383,21.66058128204511
0.005,1.8666666666666667,266.6666666666667,tonic_spiking,tonic_spiking,187,24,187.0,24.0,,,,,20.379073102580634,25.893949296602752
0.005,1.8666666666666667,283.33333333333337,tonic_spiking,tonic_spiking,22,176,22.0,176.0,,,,,26.356511768670515,19.344016561277883
0.005,1.8666666666666667,300.0,bursting,bursting,109,97,27.25,32.333333333333336,0.3471587238414506,0.3804871711493924,0.395813155802752,0.3091006808757163,27.114150942431827,26.556694483801536
0.005,1.8666666666666667,316.6666666666667,bursting,bursting,94,101,18.8,20.2,0.36724840949182,0.3473340630168398,0.4833624633125475,0.559235610916136,26.212863260897766,26.633351113609923
0.005,1.8666666666666667,333.33333333333337,bursting,bursting,94,98,23.5,24.5,0.3352337243335877,0.34361019327550596,0.42665288943062457,0.3422690391233179,27.12996169019567,27.150525184588503
0.005,1.8666666666666667,350.0,bursting,bursting,100,88,25.0,22.0,0.3314275025251622,0.31826733609043106,0.3528216231401431,0.4395710512007036,27.054842859185126,27.372796821913386
0.005,1.9777777777777779,200.0,tonic_spiking,tonic_spiking,228,23,228.0,23.0,,,,,24.56255732578117,26.819651890315026
0.005,1.9777777777777779,216.66666666666666,tonic_spiking,tonic_spiking,213,31,213.0,31.0,,,,,23.023072095937938,25.43402629411291
0.005,1.9777777777777779,233.33333333333334,tonic_spiking,tonic_spiking,24,202,24.0,202.0,,,,,25.757657812397493,21.83813174522403
