Vs0,Vus0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B
-59.75517594326918,-56.36881368020514,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-56.287302321594446,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-56.231618186888966,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-55.540833630900494,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-54.663662191171994,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-54.227304675248156,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-54.1133580852,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-53.83109446253879,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-52.96128429043536,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-52.80355330675777,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-52.592526779805354,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-50.09969086530679,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-49.85379041970086,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-49.75973078435901,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-49.23199223512259,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-48.79690700260742,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-48.616917503311555,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-46.129344077851364,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-45.64278503889504,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-59.75517594326918,-40.8634324754736,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-56.36881368020514,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-56.287302321594446,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-56.231618186888966,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-55.540833630900494,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-54.663662191171994,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-54.227304675248156,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-54.1133580852,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-53.83109446253879,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-52.96128429043536,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-52.80355330675777,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-52.592526779805354,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-50.09969086530679,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
-56.51089753431159,-49.85379041970086,bursting,bursting,3323,3323,7.0,7.0,0.0,0.0,87.7192982456143,87.7192982456143,334.62214745801015,334.62214745801015
