delta_Vus,tau_us,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
1.4785931153791976,222.4276428040119,tonic_spiking,tonic_spiking,20,185,,,,,,,,,[-52.       -52.       -52.       ... -55.42033  -55.420467 -55.42059 ],[-52.      -52.      -52.      ... -86.3166  -86.14271 -85.96968],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
1.4785931153791976,229.84333871756644,tonic_spiking,tonic_spiking,19,177,,,,,,,,,,,
1.4785931153791976,239.4430625760652,bursting,bursting,101,105,28.0,19.5,0.360209667608859,0.36189301735385054,0.3577945543668824,0.3574428538237448,27.221731017955406,27.915929730216526,,,
1.4785931153791976,239.75321609472297,bursting,bursting,100,106,28.0,22.5,0.35618058866112245,0.3564043754410726,0.3531260483429561,0.35285815102328866,27.218540033048015,28.002137019851762,,,
1.4785931153791976,242.905360868945,bursting,bursting,97,110,27.0,25.5,0.35588805763369336,0.3540068668273796,0.3694467534866538,0.36525677551318575,27.323136640505616,27.63065949285172,,,
1.4785931153791976,248.52611952212527,bursting,bursting,94,109,26.0,25.0,0.34786841661829965,0.3460738429537181,0.374454700342626,0.37144342916573797,27.305169698475602,27.56304769502771,,,
1.4785931153791976,251.5392757474052,bursting,bursting,89,103,25.0,25.0,0.3436776915747924,0.33967105137189596,0.38888564817515403,0.38294368813066043,27.449636153891806,27.42783264136926,,,
1.4785931153791976,265.75975919329136,bursting,bursting,96,95,23.0,23.0,0.32552777722087467,0.3306198489358687,0.4009703482427473,0.40499767126339037,27.45917444198491,27.313859480103634,,,
1.4785931153791976,267.0527705729015,bursting,bursting,95,95,23.0,23.0,0.32930549979927726,0.3337187601428107,0.4014452027298274,0.4057124310288868,27.31121306954244,27.19930290920606,,,
1.4785931153791976,272.0888587176768,bursting,bursting,95,91,22.0,22.0,0.3157690103953508,0.3176468158916332,0.40926577719571083,0.41298422400264306,27.5486530611006,27.54811289896673,,,
1.4785931153791976,276.7664232955933,bursting,bursting,98,89,21.0,21.0,0.3136318664773949,0.31798601640799173,0.4301630317890481,0.43292854514362406,27.655058721257557,27.521930852556363,,,
1.4785931153791976,277.0701222107906,bursting,bursting,98,88,21.0,21.0,0.31134855519514937,0.316657265587712,0.42400729292543826,0.4338959517507701,27.59683376723972,27.586370481443794,,,
1.4785931153791976,277.35236514704883,bursting,bursting,99,87,21.5,21.0,0.306995988490538,0.30502132285308114,0.4200533467750404,0.4180951584580649,27.41379287990347,27.670105084386584,,,
1.4785931153791976,277.58123881365174,bursting,bursting,88,98,21.0,21.0,0.30884779757119274,0.31065544374828585,0.42313713874666786,0.4219142248380903,27.663587591041836,27.55531635426259,,,
1.4785931153791976,283.68812673413186,bursting,bursting,96,85,20.5,20.0,0.3220898895940192,0.30654900139340435,0.4346692167260714,0.4423506513613341,27.513351916123284,27.648863379202293,,,
1.4785931153791976,284.15742437309285,bursting,bursting,96,86,21.0,20.5,0.31692275087421845,0.3185050720768818,0.42386351594786476,0.42712226374799794,27.2720504021865,27.467983403225936,,,
1.4785931153791976,284.39123643116164,bursting,bursting,97,87,21.0,21.0,0.3137899081795974,0.3131004458212111,0.4211945076236206,0.4186114657680473,27.31018098527236,27.281163869300173,,,
1.4785931153791976,299.72470377120817,bursting,bursting,81,91,19.0,19.0,0.2953837185839515,0.28909900620845486,0.4484003318162455,0.4387600640589693,27.574165900953513,27.614929760041534,,,
1.4785931153791976,318.0425793037399,bursting,bursting,84,82,18.0,18.0,0.28196736112678594,0.2830099384761002,0.45143669728912256,0.450724539697564,27.47495283246139,27.399730752329205,,,
1.4785931153791976,326.21092135216526,bursting,bursting,81,82,17.0,17.0,0.26875230372281583,0.27174771260043656,0.4607445632141541,0.4644466118619666,27.676370256114655,27.58910173883989,,,
1.542285219557248,222.4276428040119,tonic_spiking,tonic_spiking,174,18,,,,,,,,,,,
1.542285219557248,229.84333871756644,bursting,bursting,95,110,27.0,26.5,0.35870631117360796,0.3579498786208407,0.3700482913020149,0.36505010312665415,27.201595996880933,27.250990622665853,[-52.       -52.       -52.       ... -55.44037  -55.440228 -55.440086],[-52.       -52.       -52.       ... -51.59273  -51.588573 -51.584385],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
1.542285219557248,239.4430625760652,bursting,bursting,94,101,25.0,24.5,0.3485323837936674,0.3508634988779394,0.3849485131363681,0.3902819787296322,27.160558340208272,27.32771163634382,,,
1.542285219557248,239.75321609472297,bursting,bursting,91,105,25.0,25.5,0.34654549646480154,0.34568900711270467,0.384260682446972,0.385512442414079,27.180566997117612,26.92082839153741,,,
1.542285219557248,242.905360868945,bursting,bursting,92,99,24.0,24.0,0.33320945152961423,0.3328186082877248,0.39120569595493304,0.39093041438623927,27.419948484770508,27.403446057510187,,,
1.542285219557248,248.52611952212527,bursting,bursting,98,95,23.0,23.0,0.3330864197530864,0.3331975062140908,0.41152263374485587,0.4074813577278839,27.467335102034884,27.318314897322168,,,
1.542285219557248,251.5392757474052,bursting,bursting,101,92,22.0,22.0,0.3227132579650567,0.32580145545583783,0.4194894813012564,0.424331148027921,27.614351895274915,27.571806256669063,,,
1.542285219557248,265.75975919329136,bursting,bursting,87,96,21.0,21.0,0.3206872643757854,0.31781557743957023,0.4333318888937036,0.42631197510338065,27.289266113605784,27.287050841684753,,,
1.542285219557248,267.0527705729015,bursting,bursting,97,86,21.0,21.0,0.3133649289099526,0.31281695179176394,0.42127435492364396,0.420848852134756,27.339357148093217,27.325385549990244,,,
1.542285219557248,272.0888587176768,bursting,bursting,93,84,20.0,20.0,0.3064741907261594,0.3099207313034068,0.437445319335083,0.44160833756541323,27.49420572050001,27.405001406042533,,,
1.542285219557248,276.7664232955933,bursting,bursting,90,85,19.0,19.0,0.2974007154824981,0.3000045520757467,0.45283702395507847,0.45520757465404216,27.688817963795483,27.585039061050335,,,
1.542285219557248,277.0701222107906,bursting,bursting,90,86,19.5,19.0,0.31896706452481377,0.29667357793202925,0.44871219599748735,0.45073469755701806,27.40627466782226,27.644392526443035,,,
1.542285219557248,277.35236514704883,bursting,bursting,91,82,19.5,19.0,0.2916472027583138,0.29131080991148867,0.4448893337782227,0.4436655648971804,27.430386631896237,27.707808665205473,,,
1.542285219557248,277.58123881365174,bursting,bursting,90,83,19.5,19.0,0.3165816727697526,0.2981987085079869,0.44930694403881993,0.45315509233034995,27.469910258457222,27.61424654935578,,,
1.542285219557248,283.68812673413186,bursting,bursting,89,82,19.0,19.0,0.29432333739072714,0.296605228934033,0.4426247648555937,0.4484506031660611,27.479399340274863,27.466994597263948,,,
1.542285219557248,284.15742437309285,bursting,bursting,89,84,19.0,19.0,0.2969668730169296,0.2979590009846925,0.4437640063014489,0.44758750335690617,27.401222868920698,27.37974521543546,,,
1.542285219557248,284.39123643116164,bursting,bursting,88,84,19.0,19.0,0.2994010622669228,0.29832728244648843,0.452028477794101,0.44546406218678297,27.433755159666003,27.345187946218125,,,
1.542285219557248,299.72470377120817,bursting,bursting,83,86,17.0,17.0,0.27692344315368483,0.279514598101646,0.4760997905160921,0.48059593896431574,27.7425123389751,27.684514817363194,,,
1.542285219557248,318.0425793037399,bursting,bursting,78,84,16.5,16.0,0.258404356060606,0.2579951308294136,0.47348484848484845,0.47273500839104654,27.34582858411966,27.732612496505386,,,
1.542285219557248,326.21092135216526,bursting,bursting,77,81,16.0,16.0,0.2617047678136782,0.26158424259600394,0.4772586264496729,0.472344244485381,27.547417558869828,27.439531891108416,,,
1.5583544283790378,222.4276428040119,bursting,bursting,101,105,28.0,19.5,0.35529482022728437,0.3618384550677427,0.35129011293977125,0.3579546471462065,27.187367040521572,27.931516389452977,,,
1.5583544283790378,229.84333871756644,bursting,bursting,93,107,26.0,26.0,0.3551670046294523,0.34992061268329133,0.38259938018900413,0.37358737274680115,27.281030103678013,27.194721550425776,,,
1.5583544283790378,239.4430625760652,bursting,bursting,92,99,24.0,24.0,0.3382276869205362,0.33152173913043487,0.3979149257888662,0.3868172675228223,27.404196402580876,27.347485215332178,[-52.       -52.       -52.       ... -56.068645 -56.04086  -56.013187],[-52.       -52.       -52.       ... -55.5563   -55.556236 -55.55617 ],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
1.5583544283790378,239.75321609472297,bursting,bursting,95,99,24.0,24.0,0.3311784119588429,0.3339641237926278,0.38827412152980006,0.39424403705893957,27.413414874946803,27.416515420243087,,,
1.5583544283790378,242.905360868945,bursting,bursting,97,95,23.0,23.0,0.3234988406492366,0.3268599894698475,0.39977612536979285,0.40500587258515264,27.567279142725877,27.563960689897375,,,
1.5583544283790378,248.52611952212527,bursting,bursting,99,91,22.5,22.0,0.3440400458859112,0.3186984113816417,0.4171446449056209,0.4147828611721764,27.353029545438687,27.62703951682541,,,
1.5583544283790378,251.5392757474052,bursting,bursting,101,91,22.0,22.0,0.3243277179031078,0.32434239391596853,0.41854138327927165,0.41785930677141003,27.445362068601792,27.418154757517073,,,
1.5583544283790378,265.75975919329136,bursting,bursting,93,85,20.0,20.0,0.3079798292564249,0.3111230401037822,0.4423408678727826,0.44733722516719227,27.57793686875799,27.528481817330118,,,
1.5583544283790378,267.0527705729015,bursting,bursting,84,95,20.0,20.0,0.3042470366968464,0.304806896852005,0.43738791934566773,0.43540732355118206,27.59882124443102,27.513995437842027,,,
1.5583544283790378,272.0888587176768,bursting,bursting,90,86,19.5,19.0,0.31378286119608095,0.3006540447504302,0.4433213636565146,0.4589787722317841,27.49854550317255,27.653123885857916,,,
1.5583544283790378,276.7664232955933,bursting,bursting,89,85,19.0,19.0,0.2986161197259285,0.29316356253861764,0.4507753335737469,0.4413452202312648,27.531899039987834,27.51897940256319,,,
