Vi0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
-105.14582794454225,bursting,bursting,75,81,16.5,16.0,0.2702124755448381,0.25293417644725513,0.4549797534009737,0.4666682222274074,27.63105693740903,27.88678662902492,"[-52.         -52.00000026 -52.00000129 ... -56.30166827 -56.3015258
 -56.30138318]","[-52.         -52.00000026 -52.00000129 ... -52.24616306 -52.23575634
 -52.22532595]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-101.4811769100413,bursting,bursting,74,83,16.0,16.0,0.2584365453382908,0.2623788631213539,0.47363061548298485,0.48213683043247685,27.776579362674486,27.723684484537493,,,
-100.19958492603132,bursting,bursting,74,83,16.0,16.0,0.25790345480359683,0.2608518589497889,0.4732607666824421,0.4791107704101188,27.791210597710897,27.731520524658226,"[-52.         -52.00000026 -52.00000129 ... -55.34345162 -55.3431919
 -55.34293219]","[-52.         -52.00000026 -52.00000129 ... -55.95975258 -55.95990334
 -55.96005387]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-98.2750705740145,bursting,bursting,75,82,16.0,16.0,0.26407532592950267,0.26716958949740366,0.4828585224529214,0.4898599000685803,27.682352321595275,27.649589793066056,,,
-94.1611661339811,bursting,bursting,82,75,16.0,16.0,0.26933215086344914,0.2676319363601087,0.4926957849875594,0.48506014745828474,27.61720926925132,27.53455883182296,"[-52.         -52.00000026 -52.00000129 ... -55.93310882 -55.93300691
 -55.93290496]","[-52.         -52.00000026 -52.00000129 ... -54.39723672 -54.3969465
 -54.39665623]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-93.84527381702881,bursting,bursting,75,82,16.0,16.0,0.2674367916303399,0.26818704578266084,0.4843553230650005,0.4893924193114248,27.54607119909997,27.57792436851913,,,
-93.13852565023593,bursting,bursting,75,82,16.0,16.0,0.26545726485417226,0.2660661827186871,0.4824741273249221,0.48556653475442474,27.60043355739562,27.61854689721416,"[-52.         -52.00000026 -52.00000129 ... -54.67241846 -54.67215307
 -54.67188766]","[-52.         -52.00000026 -52.00000129 ... -55.97870285 -55.97862189
 -55.97854087]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-93.01396526987197,bursting,bursting,75,82,16.0,16.0,0.26647993432172706,0.2675562481737608,0.482928478292365,0.4869971754163826,27.558398024406298,27.573845726125903,,,
-92.78411885748214,bursting,bursting,75,82,16.0,16.0,0.2714651437573847,0.27273404149707153,0.4923198109491927,0.4963764519011219,27.50949757957003,27.48575924530609,"[-52.         -52.00000026 -52.00000129 ... -54.11802738 -54.1176777
 -54.11732792]","[-52.         -52.00000026 -52.00000129 ... -55.7546632  -55.75452515
 -55.75438709]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-91.72173892393454,bursting,bursting,76,82,16.0,16.0,0.2732764572443041,0.26764913304637533,0.49314528059966467,0.48636949490527953,27.447895580299633,27.548292813730278,,,
