g_us,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
0.011998941887692096,bursting,bursting,80,90,19.0,19.0,0.29030135544150526,0.29311300876122887,0.43865420888713424,0.44360652101585896,27.537708501853004,27.536037057495058,"[-52.         -52.00000026 -52.00000129 ... -54.12818537 -54.12783475
 -54.12748402]","[-51.89984756 -51.89969489 -51.89954245 ... -55.78425425 -55.78412474
 -55.78399522]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.01296694563979591,bursting,bursting,87,79,18.5,17.0,0.2985263438235164,0.2584681321719896,0.4438723423143503,0.46085073044840774,27.401283002593924,27.36390361435644,"[-52.         -52.00000026 -52.00000129 ... -55.81753061 -55.81740282
 -55.81727501]","[-51.89984756 -51.89969489 -51.89954245 ... -54.04282739 -54.04245443
 -54.04208135]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.012989309451474631,bursting,bursting,86,81,18.0,18.0,0.28228782287822907,0.28528528528528546,0.45000450004500026,0.45500045500045483,27.49985029725464,27.460170298508782,"[-52.         -52.00000026 -52.00000129 ... -55.84468816 -55.85033109
 -55.8553005 ]","[-51.89984756 -51.89969489 -51.89954245 ... -89.79567357 -92.83536471
 -91.9866702 ]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.013222478592653589,bursting,bursting,81,82,17.0,18.0,0.26189863648057615,0.2781276710603265,0.46775966508407973,0.4498627918484862,27.256313646973776,27.62945036718748,"[-52.         -52.00000026 -52.00000129 ... -52.75736377 -52.73744615
 -52.71745713]","[-51.89984756 -51.89969489 -51.89954245 ... -55.87829074 -55.87819641
 -55.87810196]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.013460148881504711,bursting,bursting,83,82,17.5,16.0,0.2906587272050616,0.25002420604182796,0.46520282843319677,0.4841208365608056,27.587402464866592,27.563646150397062,"[-52.         -52.00000026 -52.00000129 ... -55.8787358  -55.8807635
 -55.88254901]","[-51.89984756 -51.89969489 -51.89954245 ... -90.91070303 -90.71366534
 -90.51759107]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.01351613333318916,bursting,bursting,85,80,16.0,17.5,0.24765971820111934,0.2907199815093034,0.4825323296660876,0.4622674217034553,27.6289965858114,27.540182405596344,"[-52.         -52.00000026 -52.00000129 ... -77.51530604 -77.38494004
 -77.25522034]","[-51.89984756 -51.89969489 -51.89954245 ... -55.88531786 -55.88528612
 -55.88525418]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.013550705177740506,bursting,bursting,85,81,17.0,17.0,0.2737705304333481,0.2705392647024625,0.4712868487404858,0.4650838313606028,27.737650667859413,27.75295971604027,"[-52.         -52.00000026 -52.00000129 ... -79.82840916 -79.68652919
 -79.54535248]","[-51.89984756 -51.89969489 -51.89954245 ... -55.91552788 -55.91540933
 -55.91529064]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.014219915211857299,bursting,bursting,84,80,17.0,17.0,0.27585884114948966,0.27837812441270404,0.46803332397266695,0.4698364968990791,27.441177242743045,27.36335535933319,"[-52.         -52.00000026 -52.00000129 ... -54.28509239 -54.26886779
 -54.25271422]","[-51.89984756 -51.89969489 -51.89954245 ... -56.02303583 -56.02291587
 -56.02279577]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.014469573076572366,bursting,bursting,85,79,17.0,17.0,0.2786315741038974,0.2794702606579625,0.4601297565913589,0.4679676166409285,27.21127183615839,27.175700089034116,"[-52.         -52.00000026 -52.00000129 ... -80.56356904 -80.41817602
 -80.27350438]","[-51.89984756 -51.89969489 -51.89954245 ... -55.84666247 -55.8466134
 -55.84656404]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.014545800332177486,bursting,bursting,83,78,16.0,16.5,0.26204317935110394,0.28786784183403186,0.48245085031962365,0.481625969272263,27.82448874873195,27.44232556458622,"[-52.         -52.00000026 -52.00000129 ... -54.63482195 -54.63622463
 -54.63762606]","[-51.89984756 -51.89969489 -51.89954245 ... -55.49235591 -55.49213964
 -55.49192333]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
