tau_i,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
39.00462398585954,bursting,bursting,83,78,16.0,16.0,0.276743720604423,0.2795763841722636,0.5003502451716202,0.5031066837722938,27.459631553567515,27.374325927399784,"[-52.         -52.00000026 -52.00000129 ... -55.71621156 -55.71620526
 -55.71619879]","[-51.89984756 -51.89969489 -51.89954245 ... -68.97811923 -68.88923636
 -68.80078928]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
44.17062526144672,bursting,bursting,75,83,16.0,16.0,0.2708761625061184,0.27091878085320614,0.4894762604013705,0.4911953238205172,27.503240752357662,27.52611702235226,,,
44.21787801655311,bursting,bursting,83,75,16.0,16.0,0.2712937640131078,0.2741398170246616,0.4927686204942469,0.4972155926809866,27.542526932009554,27.493054937737533,,,
44.39297493308039,bursting,bursting,83,75,16.0,16.0,0.27606148608051245,0.2716869241325232,0.5007009813739236,0.4900999803960008,27.45296031538662,27.482352869800888,,,
44.41090652794522,bursting,bursting,83,75,16.0,16.0,0.2733066142241918,0.2701901401548565,0.4978715989146398,0.49005194550622355,27.534375738383698,27.541035756778903,,,
44.6851439225174,bursting,bursting,75,82,16.0,16.0,0.2733252553228321,0.27049742710120056,0.49457207151512156,0.49007596177407503,27.477573223982336,27.523237550156377,,,
45.787885714675056,bursting,bursting,83,75,16.0,16.0,0.2686096792319157,0.2697305631010939,0.4886033273886594,0.48944032498837586,27.57913892458267,27.547250193350333,,,
46.300099423249314,bursting,bursting,75,83,16.0,16.0,0.27098374343106924,0.2677373894450385,0.4911350130150778,0.48595587520653116,27.52002903374801,27.567800356914724,,,
47.39163038187516,bursting,bursting,75,82,16.0,16.0,0.27566870130514626,0.2681788345124351,0.4962532876780308,0.48622760314103025,27.39197262191413,27.539692561623816,,,
48.70189663111327,bursting,bursting,75,82,16.0,16.0,0.2653835924466259,0.2642781213761113,0.48357068594501806,0.48318515655199085,27.620152562803927,27.668410966969613,"[-52.         -52.00000026 -52.00000129 ... -54.52936711 -54.52908744
 -54.52880774]","[-51.89984756 -51.89969489 -51.89954245 ... -55.95900737 -55.9589082
 -55.95880898]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
49.856902694344555,bursting,bursting,75,84,16.0,15.0,0.2670391611489898,0.2443064709025676,0.4922834568144336,0.50891880200514,27.702050482070067,27.42928614313679,,,
50.00928939680185,bursting,bursting,84,75,15.0,16.0,0.24240046571667215,0.26410818713450285,0.5062137740767927,0.4873294346978556,27.493649944856077,27.75580527973551,,,
50.07933725696112,bursting,bursting,83,75,16.0,16.0,0.2673004265691652,0.2632810615199036,0.4875076173065203,0.48250904704463216,27.601043336011397,27.698713036165632,,,
51.02375430003072,bursting,bursting,75,83,16.0,16.0,0.26001806341208333,0.26140979689366767,0.4753529495650521,0.4778972520908004,27.70583338721523,27.68217292230279,,,
52.305808116447096,bursting,bursting,83,76,16.0,16.0,0.2658424242424244,0.2643867069486403,0.48484848484848486,0.4833836858006041,27.61849010918333,27.647052186228166,,,
52.53984467836355,bursting,bursting,75,83,16.0,16.0,0.25932689799112985,0.26215614450908575,0.4743495481820553,0.47882400823577276,27.713033825902524,27.654325467560383,,,
52.8462555449608,bursting,bursting,83,75,16.0,16.0,0.2630203337809322,0.26145513803680975,0.4795703050067139,0.4792944785276075,27.634781325195057,27.709575210651625,,,
53.201081461658184,bursting,bursting,75,82,16.0,16.0,0.2672291531453573,0.2630418633629678,0.48075767409437276,0.4792600225252209,27.47096946583747,27.617575401107526,,,
54.28223164775316,bursting,bursting,83,75,16.0,16.0,0.2639625735506896,0.2638768010830674,0.48229960451432424,0.48351223285949135,27.640006347404956,27.670854926343665,,,
57.28937686253878,bursting,bursting,82,76,16.0,16.0,0.25950103259192475,0.25669102615315925,0.4747549077788592,0.46995793876448066,27.678216377809647,27.733818198499275,"[-52.         -52.00000026 -52.00000129 ... -58.32344795 -58.28834768
 -58.25342085]","[-51.89984756 -51.89969489 -51.89954245 ... -55.8952135  -55.89513856
 -55.89506347]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
