Vs0,Vus0,regime_A,spike_count_A,mean_spikes_per_burst_A,duty_cycle_A,interburst_freq_A,intraburst_freq_A,regime_B,spike_count_B,mean_spikes_per_burst_B,duty_cycle_B,interburst_freq_B,intraburst_freq_B,regime_C,spike_count_C,mean_spikes_per_burst_C,duty_cycle_C,interburst_freq_C,intraburst_freq_C,regime_D,spike_count_D,mean_spikes_per_burst_D,duty_cycle_D,interburst_freq_D,intraburst_freq_D
-59.75517594326918,-56.986189524310795,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-59.75517594326918,-56.468320806992836,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-59.75517594326918,-52.259614737128516,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-59.75517594326918,-51.65664037268168,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-59.75517594326918,-50.082495922771,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-59.75517594326918,-49.568951420289366,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-59.75517594326918,-47.95548193576947,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-59.75517594326918,-47.43205843320219,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-59.75517594326918,-47.42713053071329,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-59.75517594326918,-46.13834572376623,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-56.51089753431159,-56.986189524310795,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-56.51089753431159,-56.468320806992836,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-56.51089753431159,-52.259614737128516,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-56.51089753431159,-51.65664037268168,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-56.51089753431159,-50.082495922771,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-56.51089753431159,-49.568951420289366,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-56.51089753431159,-47.95548193576947,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-56.51089753431159,-47.43205843320219,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-56.51089753431159,-47.42713053071329,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-56.51089753431159,-46.13834572376623,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,,quiescent,0,,,,
-55.19992053120248,-56.986189524310795,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,
-55.19992053120248,-56.468320806992836,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,
-55.19992053120248,-52.259614737128516,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,
-55.19992053120248,-51.65664037268168,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,
-55.19992053120248,-50.082495922771,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,
-55.19992053120248,-49.568951420289366,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,
-55.19992053120248,-47.95548193576947,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,
-55.19992053120248,-47.43205843320219,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,
-55.19992053120248,-47.42713053071329,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,
-55.19992053120248,-46.13834572376623,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,,tonic_spiking,1,,,,
-54.2652196378679,-56.986189524310795,bursting,77,12.0,0.6812965064951452,0.8407953924412487,7.879301402607944,bursting,65,6.0,0.733861713767246,0.5337176100125425,9.464281858716921,bursting,78,22.5,0.7674731907097053,0.5388802069299996,8.499417401055563,bursting,66,5.5,0.7336955045497761,0.5432568246638598,11.14241304175418
-54.2652196378679,-56.468320806992836,bursting,81,17.0,0.8471099162444421,0.41360769310309176,7.910177578757452,bursting,71,8.5,0.827850368640747,0.3198618196938922,9.451803764594041,bursting,82,30.0,0.9618175353907631,0.10015072684390007,8.383443194353688,bursting,69,5.5,0.7757272947054554,0.537244473097483,9.275031582097716
-54.2652196378679,-52.259614737128516,bursting,125,21.0,0.9295315464578713,0.26722963042142106,10.546995366578576,bursting,106,10.5,0.2883548983364142,2.310536044362293,10.739009322149201,bursting,125,7.5,0.7623674519721377,0.8873508141443721,11.760094545849324,bursting,106,11.5,0.6139415581149723,1.005884423879696,11.129083522228186
-54.2652196378679,-51.65664037268168,bursting,131,5.5,0.6529590801487998,1.352722353736895,12.066610007958591,bursting,110,5.5,0.5392513836294789,1.4564520827264775,12.4437080359061,bursting,132,9.0,0.32919408915931997,2.483546504408295,11.228888638522628,bursting,110,4.5,0.6252483396719078,1.1352670715785893,13.425272223553561
-54.2652196378679,-50.082495922771,bursting,149,11.5,0.8588255203926216,0.6769334912844812,12.295749786742775,bursting,122,7.0,0.752935951840521,0.9868745682423763,12.170841759221865,bursting,149,5.5,0.700400574408586,1.5116015418335724,14.22633689966081,bursting,121,8.0,0.7752526230206358,0.7743234348987573,12.06117252751785
-54.2652196378679,-49.568951420289366,bursting,152,5.5,0.4051593323216983,3.034901365705611,13.54028106165372,bursting,128,8.5,0.7491831844913965,0.7260582298700355,13.542751173634295,bursting,154,4.5,0.4983084826462855,2.5059516351334423,14.506371948960254,bursting,128,8.5,0.7481408799834744,1.0328444536252837,12.678737112073291
-54.2652196378679,-47.95548193576947,bursting,170,13.0,0.5502851996397471,2.0014009806864808,13.597519166123107,bursting,141,13.5,0.9000497471188129,0.41455932343918417,12.131728981697597,bursting,169,5.0,0.6869785082174453,1.6856300042140742,14.430533313789411,bursting,139,6.5,0.4138386590702673,1.651391297167864,14.215353480778733
